Отметка времени;День Вашего рождения (числом);Месяц Вашего рождения (числом);Год Вашего рождения (числом);Ваш пол;Полное наименование ВУЗа, в котором Вы учились на время сдачи экзамена;Где Вы жили на время сдачи экзамен?;Ваше семейное положение на время сдачи экзамена;Ваш доход на время сдачи экзамена;По Вашему мнению, каким был предмет?;Был ли Вам полезен данный предмет?;Был ли преподаватель увлечён предметом?;Были ли Вы увлечены данным предметом?;Готовили ли Вы шпаргалки?;Сами ли Вы готовили шпаргалки?;Вы списывали?;За какой период Вы подготовились к экзамену?;Склонны ли Вы к прокрастинации (прокрастина?ция — склонность к постоянному откладыванию какого-либо дела)?;Внимательно ли Вы слушали преподавателя во время лекции?;Было ли несколько удачных опытов в списывании до этого экзамена?;Как Вы посещали пары по этому предмету?;Какой формы был экзамен?;Какой по характеру Ваш преподаватель?;Пол Вашего преподавателя;Приблизительный возраст Вашего преподавателя;Преподаватель замечал, что Вы списываете?;Как вёл пары преподаватель?;Ходил ли преподаватель во время экзамена?;В каких отношениях Вы были с преподавателем?;Какую оценку Вы получили?
3.25.2019 12:32:48;1;4;1995;Ж;Пермский национальный исследовательский политехнический университет;В съёмной квартире не один;Есть девушка/молодой человек;Живу на стипендию;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Нет;Когда как;Да, были;Был почти на всех парах;Устной;По настроению;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;5
3.25.2019 12:33:39;9;7;1999;Ж;Пермский государственный национальный исследовательский университет;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Нет, не были;Ходили на все пары;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Да, и выгонял с экзамена;Материал был понятен не весь;Да, ходил;В нейтральных;2
3.25.2019 12:35:11;9;7;1999;Ж;Пермский государственный национальный исследовательский университет;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;От 1 до 2 недель;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Был почти на всех парах;Письменной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Материал был вообще не понятен;Да, ходил;В плохих, преподаватель постоянно цеплялся ко мне;3
3.25.2019 12:36:28;5;8;1999;Ж;Пгниу;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Да;Когда как;Нет, не были;Ходили на все пары;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
3.25.2019 12:36:48;17;07;2000;Ж;ПГНИУ ;В своей квартире не один;Есть девушка/молодой человек;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Нет;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Устной;По настроению;М;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 12:36:59;05;10;1997;М;ПГНИУ;С родителями в квартире;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Нет;Когда как;Да, были;Очень часто прогуливал;Письменной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 12:37:05;12;07;2000;Ж;Пермский Государственный Национальный Исследовательский университет;В своей квартире не один;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Нет, не были;Был почти на всех парах;Письменной;Строгий;Ж;С 30 до 50 лет;Да, и выгонял с экзамена;Весь материал был понятен;Нет, не ходил;В нейтральных;2
3.25.2019 12:37:31;8;10;1999;Ж;ПГНИУ;В общежитии;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Больше 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Устной;По настроению;М;С 30 до 50 лет;Да, и выгонял с экзамена;Материал был понятен не весь;Нет, не ходил;В нейтральных;3
3.25.2019 12:37:43;13;02;1998;Ж;ПГНИУ;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Нет;Когда как;Нет, не были;Был почти на всех парах;Письменной;Добрый и отзывчивый;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В очень хороших отношениях;5
3.25.2019 12:38:35;27;10;1997;Ж;Пермский государственный национальный исследовательский университет;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Больше 2 недель;Нет;Когда как;Да, были;Был почти на всех парах;Письменной;Строгий;Ж;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;3
